date,platform,country,networks,market_volume
2021-12-11,Android,WW,Facebook,9400942.788174571
2021-12-11,Android,WW,Unity,3790463.85542919
2021-12-11,Android,WW,Amazon,40604608.98900794
2021-12-11,Android,WW,other,9617416.79070644
2021-12-11,Android,WW,AppLovin,7569806.288363636
2021-12-11,Android,WW,Chartboost,1475036.3961333972
2021-12-12,iOS,WW,Chartboost,1800681.3071960353
2021-12-12,iOS,WW,IronSource,5390868.727025316
2021-12-12,iOS,WW,Amazon,13372246.32142857
2021-12-12,iOS,WW,AppLovin,4754279.0218846155
2021-12-12,iOS,WW,AdMob,13545493.247381901
2021-12-12,iOS,WW,Facebook,5991320.072198276
2021-12-12,iOS,WW,Unity,4680388.624250883
2021-12-12,iOS,WW,other,4844587.525474419
2021-12-06,iOS,WW,Facebook,2452259.5916919187
2021-12-06,iOS,WW,IronSource,3503808.8362252847
2021-12-06,iOS,WW,other,1978860.5350393201
2021-12-06,iOS,WW,AdMob,7407995.962196062
2021-12-06,iOS,WW,Chartboost,964619.9613391637
2021-12-06,iOS,WW,Unity,2225963.6119498354
2021-12-06,iOS,WW,Amazon,6834278.008771928
2021-12-06,iOS,WW,AppLovin,2659784.9860517797
2021-12-10,iOS,WW,Facebook,5124622.223142858
2021-12-10,iOS,WW,AppLovin,3369928.682300144
2021-12-10,iOS,WW,Unity,3573645.621190244
2021-12-10,iOS,WW,AdMob,8228551.390975969
2021-12-10,iOS,WW,other,2761573.718015017
2021-12-10,iOS,WW,Chartboost,1206445.9111054312
2021-12-10,iOS,WW,Amazon,11812877.397087377
2021-12-10,iOS,WW,IronSource,3496227.8832017845
2021-12-07,Android,WW,AppLovin,5030166.576724138
2021-12-07,Android,WW,Chartboost,3086493.796015909
2021-12-07,Android,WW,Facebook,6276851.506795577
2021-12-07,Android,WW,AdMob,4395185.680684847
2021-12-07,Android,WW,Unity,2638647.0393187287
2021-12-07,Android,WW,other,4397504.585925536
2021-12-07,Android,WW,IronSource,4283742.079071732
2021-12-07,Android,WW,Amazon,20876395.841655653
2021-12-11,iOS,WW,Amazon,14107078.486800002
2021-12-11,iOS,WW,Facebook,3284960.4901285716
2021-12-11,iOS,WW,AdMob,12473623.297609903
2021-12-11,iOS,WW,AppLovin,3946686.845868539
2021-12-11,iOS,WW,other,4484394.668742986
2021-12-11,iOS,WW,Unity,4393423.559575111
